,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1051,1051,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1052,1052,0.0,0.532,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(2, 1), (20, 1), (33, 1), (99, 1), (149, 1), (150, 2), (203, 1), (204, 1), (214, 1), (241, 1), (287, 1), (407, 1), (536, 1), (695, 1), (844, 1), (1022, 1), (1062, 1), (1064, 1), (1571, 1), (1608, 1), (1685, 1), (1800, 1), (2034, 1), (2045, 1), (2585, 1), (2683, 1)]"
1053,1053,0.0,0.9724,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(66, 1), (87, 1), (111, 1), (139, 1), (204, 1), (214, 1), (268, 1), (326, 1), (434, 1), (538, 1), (597, 1), (630, 1), (635, 2), (637, 1), (675, 1), (693, 1), (749, 1), (986, 1), (1259, 1), (1500, 1), (1663, 1), (2180, 1), (2684, 1), (2685, 1), (2686, 1)]"
1054,1054,0.0,0.5555,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(2, 1), (20, 1), (33, 1), (37, 1), (72, 1), (91, 1), (96, 1), (99, 1), (113, 1), (169, 1), (204, 1), (218, 1), (221, 1), (287, 1), (427, 1), (452, 1), (640, 1), (698, 1), (711, 1), (728, 1), (844, 1), (1022, 1), (1201, 1), (2045, 1), (2585, 1)]"
1055,1055,1.0,0.7731,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 2), (59, 2), (71, 2), (79, 2), (99, 2), (113, 1), (198, 1), (214, 1), (257, 1), (431, 1), (536, 1), (658, 1), (844, 1), (1022, 1), (1074, 1), (1145, 1), (1505, 1), (1572, 1), (2045, 1), (2193, 1), (2687, 1), (2688, 1), (2689, 1), (2690, 1)]"
1056,1056,2.0,0.7667,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(36, 1), (83, 4), (105, 1), (110, 2), (117, 2), (122, 1), (132, 1), (169, 1), (198, 1), (211, 1), (218, 1), (222, 1), (251, 1), (266, 1), (279, 1), (283, 1), (288, 1), (299, 1), (311, 1), (332, 1), (350, 1), (356, 1), (382, 1), (440, 1), (483, 1), (546, 1), (602, 1), (637, 1), (655, 1), (791, 1), (855, 1), (931, 1), (1068, 1), (1095, 1), (1193, 1), (1217, 1), (1234, 1), (1236, 1), (1265, 2), (1355, 1), (1525, 1), (1537, 1), (1744, 1), (1759, 1), (1810, 1), (2691, 1), (2692, 1), (2693, 1), (2694, 1), (2695, 1), (2696, 1), (2697, 1), (2698, 1), (2699, 1), (2700, 1), (2701, 1), (2702, 1), (2703, 1)]"
1057,1057,0.0,0.5216,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(538, 1), (711, 1), (728, 1), (844, 1), (1227, 1)]"
1058,1058,2.0,0.6623,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2704, 1)]"
1059,1059,2.0,0.6455,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2, 1), (37, 1), (69, 1), (72, 1), (101, 1), (169, 1), (239, 1), (266, 1), (284, 1), (287, 1), (294, 1), (400, 1), (605, 1), (613, 1), (690, 1), (711, 1), (728, 1), (808, 1), (881, 1), (1368, 1), (1394, 1), (1650, 1), (2045, 1), (2150, 1), (2705, 1), (2706, 1), (2707, 1), (2708, 1), (2709, 1), (2710, 1)]"
1060,1060,2.0,0.6372,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2, 1), (63, 1), (122, 3), (139, 1), (211, 1), (226, 1), (262, 1), (283, 1), (284, 1), (350, 1), (400, 1), (428, 1), (563, 1), (602, 1), (656, 1), (711, 1), (728, 1), (808, 1), (882, 1), (1196, 1), (1228, 1), (1259, 1), (1340, 1), (2045, 1), (2711, 1), (2712, 1), (2713, 1)]"
