Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.31,symmetric,0.5541114213116006
100% Corpus,5,0.61,0.01,0.5967071359945606
100% Corpus,5,0.61,0.31,0.5935935345516448
100% Corpus,5,0.61,0.61,0.5727898760551182
100% Corpus,5,0.61,0.9099999999999999,0.6020481456433677
100% Corpus,5,0.61,symmetric,0.5680356496271246
100% Corpus,5,0.9099999999999999,0.01,0.582091810334123
100% Corpus,5,0.9099999999999999,0.31,0.5854817629922987
100% Corpus,5,0.9099999999999999,0.61,0.5985234677311807
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5391851012104136
100% Corpus,5,0.9099999999999999,symmetric,0.589843510969499
100% Corpus,5,symmetric,0.01,0.5916160256055597
100% Corpus,5,symmetric,0.31,0.5798647788462453
100% Corpus,5,symmetric,0.61,0.569520922196158
100% Corpus,5,symmetric,0.9099999999999999,0.5836434361023788
100% Corpus,5,symmetric,symmetric,0.5764546365701918
100% Corpus,5,asymmetric,0.01,0.5672673743124577
100% Corpus,5,asymmetric,0.31,0.6257906274679189
100% Corpus,5,asymmetric,0.61,0.5851979168430079
100% Corpus,5,asymmetric,0.9099999999999999,0.6066525145078748
100% Corpus,5,asymmetric,symmetric,0.5986603901031803
100% Corpus,6,0.01,0.01,0.5726143132972211
100% Corpus,6,0.01,0.31,0.6108175828647239
100% Corpus,6,0.01,0.61,0.5817765324957139
100% Corpus,6,0.01,0.9099999999999999,0.5850584586689594
100% Corpus,6,0.01,symmetric,0.5726261782041213
100% Corpus,6,0.31,0.01,0.5490139143468986
100% Corpus,6,0.31,0.31,0.6012073934433687
100% Corpus,6,0.31,0.61,0.6300420512251795
100% Corpus,6,0.31,0.9099999999999999,0.6145950431533128
100% Corpus,6,0.31,symmetric,0.5840836135548243
100% Corpus,6,0.61,0.01,0.5367350471516282
100% Corpus,6,0.61,0.31,0.5640273320979932
100% Corpus,6,0.61,0.61,0.5462709701478846
100% Corpus,6,0.61,0.9099999999999999,0.6003233717601518
100% Corpus,6,0.61,symmetric,0.5816975176720823
100% Corpus,6,0.9099999999999999,0.01,0.5597474837554257
100% Corpus,6,0.9099999999999999,0.31,0.5684156259333069
100% Corpus,6,0.9099999999999999,0.61,0.5752238214155774
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5641038553071683
